external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N,TAU:fef6949a298796472756e9b6fa08b9c7e26651f01a98ae5f9b152510f261d395,"[""CMP:ATTZFSUZZUNHBP-UHFFFAOYSA-N""]",false,false
CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N,TAU:e223960ffee46f9169f3967e8c3dc465783fd1729be81b3d2e531ca714c4751c,"[""CMP:AUGNBQPSMWGAJE-UHFFFAOYSA-N""]",false,false
CMP:AUHZEENZYGFFBQ-UHFFFAOYSA-N,TAU:56db7ee1ad267dc79d19b3e5204365f996766fa621117f84f6419b45331356d8,"[""CMP:AUHZEENZYGFFBQ-UHFFFAOYSA-N""]",false,false
CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N,TAU:5ef5fef234fae98d5d5f7dc49d339dcf88dc1b3ebdd2862c898540134c612799,"[""CMP:AUZONCFQVSMFAP-UHFFFAOYSA-N""]",false,false
CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N,TAU:24cd4af1b868ed71de331c3397e06629f7167c4b62fe04ec4c7fd726c73d89c4,"[""CMP:AVUYXHYHTTVPRX-UHFFFAOYSA-N""]",false,false
CMP:AWMVMTVKBNGEAK-MRVPVSSYSA-N,TAU:0026890506bc5d2564373c8a2879db5d29e92a6f4a0380e2579e1b29f8784017,"[""CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N""]",false,false
CMP:AWMVMTVKBNGEAK-QMMMGPOBSA-N,TAU:0026890506bc5d2564373c8a2879db5d29e92a6f4a0380e2579e1b29f8784017,"[""CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N""]",false,false
CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N,TAU:0026890506bc5d2564373c8a2879db5d29e92a6f4a0380e2579e1b29f8784017,"[""CMP:AWMVMTVKBNGEAK-UHFFFAOYSA-N""]",false,false
CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N,TAU:8b2f276bfde16085ee4800446d914b7c60ec94a869a7560c836838f45d1526ee,"[""CMP:AWYFNIZYMPNGAI-UHFFFAOYSA-N""]",false,false
CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N,TAU:08200242beef7623372c3d795a7f48beffcaee71209a22961fbadfd22a2f588f,"[""CMP:AYLURHVFAYRSHT-UHFFFAOYSA-N""]",false,false
CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N,TAU:8cdfcd7b604185b8463fbc2dc7e1bad82843a82f7db9b5d4bc84b37cb8cc49ec,"[""CMP:AZQWKYJCGOJGHM-UHFFFAOYSA-N""]",false,false
CMP:BABMCXWQNSQAOC-UHFFFAOYSA-M,TAU:b97e715af1205e7384c5761edead78ac42d6330832f3f17056ba9ca4604ab181,"[""CMP:BABMCXWQNSQAOC-UHFFFAOYSA-M""]",false,false
CMP:BAFKRPOFIYPKBQ-UHFFFAOYSA-N,TAU:d0ba2611b6e2b5de37a24cb71dfb70e14c4c36e76b1625d85b2e2c9011b4ac94,"[""CMP:BAFKRPOFIYPKBQ-UHFFFAOYSA-N""]",false,false
CMP:BAOXJBYPTRZNSH-XBXARRHUSA-N,TAU:60f25a9557018e9ef778504e3ffba5db79273965306f66d2c23adf19b6a14be0,"[""CMP:BAOXJBYPTRZNSH-XBXARRHUSA-N""]",false,false
CMP:BAPJBEWLBFYGME-UHFFFAOYSA-N,TAU:7eef9856e5d090f08a9653a9e2a7e84e712302799ef5b58c552caf9661c56dd7,"[""CMP:BAPJBEWLBFYGME-UHFFFAOYSA-N""]",false,false
CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,TAU:24553351e7dfb2a39302f44106690a18269c4ffa822ef38e6b5673a1f5217cb5,"[""CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N""]",false,false
CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N,TAU:5c8a54201c4bc7d4e270cf1d56dc678de827454e19bfca3f7745e25b62c894d3,"[""CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N""]",false,false
CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,TAU:a41b02cd1de121b29305bac643657829e5eee81905b31944eba52f2401dad9de,"[""CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N""]",false,false
