external_compound_id,tautomer_family_key,development_compound_ids_json,in_primary_external,removed_from_tautomer_sensitivity
CMP:GYFAGKUZYNFMBN-UHFFFAOYSA-N,TAU:ab89ca6995a541a0a2e0c5cc439b561c03e84152db68757f6f96370633f64342,"[""CMP:GYFAGKUZYNFMBN-UHFFFAOYSA-N""]",false,false
CMP:GYRMPDLIHUXUIG-UHFFFAOYSA-N,TAU:021cbf695a7c49054185d2f66ff3791250b15012c2c064fe83c907f6a1af8cc8,"[""CMP:GYRMPDLIHUXUIG-UHFFFAOYSA-N""]",false,false
CMP:GYSSRZJIHXQEHQ-UHFFFAOYSA-N,TAU:6efeaf3e8d41c30378037ca7cc763ddbc2e51af89e09a65bdc1f01a3af4010b2,"[""CMP:GYSSRZJIHXQEHQ-UHFFFAOYSA-N""]",false,false
CMP:GZCRKMACGRBALK-VMPITWQZSA-N,TAU:3eaa71c6b7dcb29d185b5b196dc244f0091a1aa0905559be07397170b35fecf4,"[""CMP:GZCRKMACGRBALK-VMPITWQZSA-N""]",false,false
CMP:GZGZVOLBULPDFD-UHFFFAOYSA-N,TAU:a4a7fb129ee696abe820d996e43ff00cd6cdc85237637a12f0acd76aa9c71980,"[""CMP:GZGZVOLBULPDFD-UHFFFAOYSA-N""]",false,false
CMP:GZPOYVTZKHVRHE-UHFFFAOYSA-N,TAU:958fccfdabc7fb698248c21a9e24a3007c9e41ffd99c1c89a37820333bab5689,"[""CMP:GZPOYVTZKHVRHE-UHFFFAOYSA-N""]",false,false
CMP:GZUXJHMPEANEGY-UHFFFAOYSA-N,TAU:b8a9229c9f62bb9ddc9da5bfe3b6515be0d7b89b1b1cddca707a3b5bcc7308c6,"[""CMP:GZUXJHMPEANEGY-UHFFFAOYSA-N""]",false,false
CMP:GZVHEAJQGPRDLQ-UHFFFAOYSA-N,TAU:b8224aef3e6e9ee25a1ba28074532e042fa013b2f984dee31e208da452ae2654,"[""CMP:GZVHEAJQGPRDLQ-UHFFFAOYSA-N""]",false,false
CMP:HAMGRBXTJNITHG-UHFFFAOYSA-N,TAU:7ef63a4c2f4d01d57ad78c28fcd48eda4458227e2540edc8feef4a2f6608c7f8,"[""CMP:HAMGRBXTJNITHG-UHFFFAOYSA-N""]",false,false
CMP:HANJUZBUHHOFCC-UHFFFAOYSA-N,TAU:7146c00bdfd1adf41cf1d8548072abef235d490405ceb3541408284e33170f2f,"[""CMP:HANJUZBUHHOFCC-UHFFFAOYSA-N""]",false,false
CMP:HAWPXGHAZFHHAD-UHFFFAOYSA-N,TAU:e2c744cfb5b5612887c90d3a31d195ac12ebc7ae08fbf48b55d7f0dcbfc9dd8c,"[""CMP:HAWPXGHAZFHHAD-UHFFFAOYSA-N""]",false,false
CMP:HAXBIWFMXWRORI-UHFFFAOYSA-N,TAU:7c7e48bd12d0bf1a063a4fcff36351d961fe069e167e2d64c4264032dc48f570,"[""CMP:HAXBIWFMXWRORI-UHFFFAOYSA-N""]",false,false
CMP:HBGGXOJOCNVPFY-UHFFFAOYSA-N,TAU:365d760aab8e2099f46a3c01caf7049c57cd69e6cb4cd80637dc38ec9f52f17b,"[""CMP:HBGGXOJOCNVPFY-UHFFFAOYSA-N""]",false,false
CMP:HBOMLICNUCNMMY-XLPZGREQSA-N,TAU:b886c0a7b5e5cf62c55ff6e9364817633a9733295a555d6ad96e5f73fec604f0,"[""CMP:HBOMLICNUCNMMY-XLPZGREQSA-N""]",false,false
CMP:HCAJEUSONLESMK-UHFFFAOYSA-N,TAU:8aba64e2dc7173fc0915af19b73ae9f4f97f2b6168e91e1a8339e8be3348e675,"[""CMP:HCAJEUSONLESMK-UHFFFAOYSA-N""]",false,false
CMP:HDEPBBATNLJTLO-UHFFFAOYSA-N,TAU:41767c43bb75c00795f23534db3aaf18db7887d4d10763e2c26cc080fd45cf0f,"[""CMP:HDEPBBATNLJTLO-UHFFFAOYSA-N""]",false,false
CMP:HDTIFOGXOGLRCB-MDZDMXLPSA-N,TAU:384ee41b79a7587c666ecff856be72196a37e42acd9e0cbbe0c03d3a8a759c44,"[""CMP:HDTIFOGXOGLRCB-MDZDMXLPSA-N""]",false,false
CMP:HDZGCSFEDULWCS-UHFFFAOYSA-N,TAU:1f3d47dacc1a19a5efa22ac27d6936dcbf57295bd030593ff779a527bd48db02,"[""CMP:HDZGCSFEDULWCS-UHFFFAOYSA-N""]",false,false
CMP:HEDRZPFGACZZDS-UHFFFAOYSA-N,TAU:eed613903157d0527b1068ea8a12c7d27d040778512fa9dac5346f78818e66b7,"[""CMP:HEDRZPFGACZZDS-UHFFFAOYSA-N""]",false,false
CMP:HEFNNWSXXWATRW-UHFFFAOYSA-N,TAU:572a3bb55eb3155740ca47ef164af087289c634e81d537e80b08107a57a38d32,"[""CMP:HEFNNWSXXWATRW-UHFFFAOYSA-N""]",false,false
CMP:HEMJJKBWTPKOJG-UHFFFAOYSA-N,TAU:cc3a69313d732a537e1ce254e4d539b514598b4e143c7b14df79b51203955333,"[""CMP:HEMJJKBWTPKOJG-UHFFFAOYSA-N""]",false,false
CMP:HFACYLZERDEVSX-UHFFFAOYSA-N,TAU:900961b259ed72bec9a0877e083f5813d555ea922465749d77d7d55f24d9dbee,"[""CMP:HFACYLZERDEVSX-UHFFFAOYSA-N""]",false,false
CMP:HFVNWDWLWUCIHC-GUPDPFMOSA-N,TAU:42905072e0b5883344a487fa7a2e1ad630bce8d8812a76b4411b7034c287c933,"[""CMP:HFVNWDWLWUCIHC-GUPDPFMOSA-N""]",false,false
CMP:HFZWRUODUSTPEG-UHFFFAOYSA-N,TAU:3ca9a1a9e2703f8041d7a6185ebe1c8bfc17e2ff179c967f0f569986f915641e,"[""CMP:HFZWRUODUSTPEG-UHFFFAOYSA-N""]",false,false
CMP:HGINCPLSRVDWNT-UHFFFAOYSA-N,TAU:48017807e0fb4f0d3a3e4fc266f1fc3f16abbbe6ce3be516afcfa4406080e41b,"[""CMP:HGINCPLSRVDWNT-UHFFFAOYSA-N""]",false,false
CMP:HGUFODBRKLSHSI-UHFFFAOYSA-N,TAU:df16dfb89d159c2cdd7bc41a50e96b10fcf2b9eba56a9b58764d2b055173f8e5,"[""CMP:HGUFODBRKLSHSI-UHFFFAOYSA-N""]",false,false
CMP:HIQMSTLVIQOADM-UHFFFAOYSA-N,TAU:054cfed2ae002f9c1c3e4a2ea6e07667f61ab437ed3c9279b8f97f3e0ccc95a1,"[""CMP:HIQMSTLVIQOADM-UHFFFAOYSA-N""]",false,false
CMP:HJOVHMDZYOCNQW-UHFFFAOYSA-N,TAU:b0818422dc5b5f9e952d8e90c7c49b561656ba9c74536e92bc315b03e288d818,"[""CMP:HJOVHMDZYOCNQW-UHFFFAOYSA-N""]",false,false
CMP:HKGJFHDHCGYJAM-UHFFFAOYSA-N,TAU:a35859a107cd3363050b74fffdebf05578527930bb1e350fd607e8ee38656f67,"[""CMP:HKGJFHDHCGYJAM-UHFFFAOYSA-N""]",false,false
CMP:HKIOYBQGHSTUDB-UHFFFAOYSA-N,TAU:3b503cdb54d9d79ddd75731141d32c321eabab2104559e671fac87ed10243cfa,"[""CMP:HKIOYBQGHSTUDB-UHFFFAOYSA-N""]",false,false
CMP:HKJKONMZMPUGHJ-UHFFFAOYSA-N,TAU:ec6feefc03c221278550b7ff1a1d852ca808d1ea6f930db6023414b25f83074b,"[""CMP:HKJKONMZMPUGHJ-UHFFFAOYSA-N""]",false,false
CMP:HKOOXMFOFWEVGF-UHFFFAOYSA-N,TAU:e316fdd91f3b0b3872645529d59811eb91aff8f69c4554ce1980a9628576789b,"[""CMP:HKOOXMFOFWEVGF-UHFFFAOYSA-N""]",false,false
CMP:HLBLWEWZXPIGSM-UHFFFAOYSA-N,TAU:9777cc86ffbb1e397f2d92f21c20522919cc88ebbbd3e81840d44dc8df5b57d0,"[""CMP:HLBLWEWZXPIGSM-UHFFFAOYSA-N""]",false,false
CMP:HMBBJSKXDBUNNT-UHFFFAOYSA-N,TAU:e8b0f753df9bcc56fdd1de7c3e1cf2fd06d67539f286cb0e67b17fb020687e0c,"[""CMP:HMBBJSKXDBUNNT-UHFFFAOYSA-N""]",false,false
CMP:HNURKXXMYARGAY-UHFFFAOYSA-N,TAU:d6f378adb9799352e40c78f9e0fada7550d1fd153b4f3f5ee527ddb17aae6566,"[""CMP:HNURKXXMYARGAY-UHFFFAOYSA-N""]",false,false
CMP:HOMAGVUCNZNWBC-UHFFFAOYSA-N,TAU:32b615175ceb7d06c35afe328d9cfa507d207c216a451f45ba575d665101a867,"[""CMP:HOMAGVUCNZNWBC-UHFFFAOYSA-N""]",false,false
CMP:HOMGKSMUEGBAAB-UHFFFAOYSA-N,TAU:dba89c2f6ce6de6aab2db7be01b11b1e3f396c3333b59754d28c90a18cba0a7f,"[""CMP:HOMGKSMUEGBAAB-UHFFFAOYSA-N""]",false,false
CMP:HPDHKHMHQGCNPE-QLJRNOHWSA-N,TAU:b40c486c4c5a3c96843974e42025dd38653a15bf034aac8c33dcfc428f9a1054,"[""CMP:HPDHKHMHQGCNPE-QLJRNOHWSA-N""]",false,false
CMP:HQCHAOKWWKLXQH-UHFFFAOYSA-N,TAU:8bd0e966f69e7a1b9eddfb16b449a535a762f1a9fd119aad30d392d26efcbfde,"[""CMP:HQCHAOKWWKLXQH-UHFFFAOYSA-N""]",false,false
CMP:HQUQLFOMPYWACS-UHFFFAOYSA-N,TAU:5d66c8a4e5a179447eed5cd60c5fe59a37f5a8b5125ee8e3ed2ed3083b3d0df5,"[""CMP:HQUQLFOMPYWACS-UHFFFAOYSA-N""]",false,false
CMP:HRPVXLWXLXDGHG-UHFFFAOYSA-N,TAU:70c3bf5054d2b2b9c8504d387a132eaddad384ba115171950f723021eaca5729,"[""CMP:HRPVXLWXLXDGHG-UHFFFAOYSA-N""]",false,false
CMP:HRQGCQVOJVTVLU-UHFFFAOYSA-N,TAU:8f916a73cc33ddf066dfc8b3e4e0f44394c9b2f31643c53689bd8352304d0429,"[""CMP:HRQGCQVOJVTVLU-UHFFFAOYSA-N""]",false,false
CMP:HRSANNODOVBCST-UHFFFAOYSA-N,TAU:cbd97f4ce82d80a4f9636e3092b247e048987127465c207f61f6dcf99f2454ab,"[""CMP:HRSANNODOVBCST-UHFFFAOYSA-N""]",false,false
CMP:HRYZWHHZPQKTII-UHFFFAOYSA-N,TAU:4a080a2a20baa1b8e12f75068f70ff414f1d38c594e10dc956a4b6c31017f3aa,"[""CMP:HRYZWHHZPQKTII-UHFFFAOYSA-N""]",false,false
CMP:HSSBORCLYSCBJR-UHFFFAOYSA-N,TAU:c6b581b477de2a586de5df90b554c7a9149741a21f52eae26911b00b5161ffb8,"[""CMP:HSSBORCLYSCBJR-UHFFFAOYSA-N""]",false,false
CMP:HSXKWKJCZNRMJO-UHFFFAOYSA-N,TAU:e25fb9d5c430aba31f0d698828e0b89ea941949a5851eb8b0d33f0f9b4aef08f,"[""CMP:HSXKWKJCZNRMJO-UHFFFAOYSA-N""]",false,false
CMP:HTRVALPKPVGOSZ-UHFFFAOYSA-N,TAU:b62301c3549cc6e222de19f61207987b07df656c2b1f58dd04bc62ca9c2303f8,"[""CMP:HTRVALPKPVGOSZ-UHFFFAOYSA-N""]",false,false
CMP:HUMNYLRZRPPJDN-UHFFFAOYSA-N,TAU:8c15a1ca83578e93ffd1ca3d4bf534d760408167a5d5c5f03e9253f985de2eb0,"[""CMP:HUMNYLRZRPPJDN-UHFFFAOYSA-N""]",false,false
CMP:HUWXDEQWWKGHRV-UHFFFAOYSA-N,TAU:f5cefedd2c9a3a36313bb5662c8deaaf80367d73569530eb3c1da65b767bbc02,"[""CMP:HUWXDEQWWKGHRV-UHFFFAOYSA-N""]",false,false
CMP:HVHNMNGARPCGGD-UHFFFAOYSA-N,TAU:ce95524e5120b1063689cde9a209d8963e659448fbcca84a16e5d6bdce21e697,"[""CMP:HVHNMNGARPCGGD-UHFFFAOYSA-N""]",false,false
CMP:HWGBHCRJGXAGEU-UHFFFAOYSA-N,TAU:2230e92797b9087546ba73e94e4d70f29cb9b6b36174a01182c66f923bf9716f,"[""CMP:HWGBHCRJGXAGEU-UHFFFAOYSA-N""]",false,false
CMP:HXIQYSLFEXIOAV-UHFFFAOYSA-N,TAU:6be8d5af508c19433f56814945f33e457d010f342b0a0adefe482551e2451d7c,"[""CMP:HXIQYSLFEXIOAV-UHFFFAOYSA-N""]",false,false
CMP:HYBBIBNJHNGZAN-UHFFFAOYSA-N,TAU:4a5b4eb27d2e840289b00ae070745c0a016befde9ca4ee3b6516779e8db52fc2,"[""CMP:HYBBIBNJHNGZAN-UHFFFAOYSA-N""]",false,false
CMP:IAIWVQXQOWNYOU-FPYGCLRLSA-N,TAU:42d6375e12a68115ad349e296969fbc307997803b70b818580a5693b2b986e3e,"[""CMP:IAIWVQXQOWNYOU-UHFFFAOYSA-N""]",false,false
CMP:IAKOZHOLGAGEJT-UHFFFAOYSA-N,TAU:9c529de7d8a3579ca80d4ae9f14ccff0f7f1518537a4d15d91de4cbcdd57bbd2,"[""CMP:IAKOZHOLGAGEJT-UHFFFAOYSA-N""]",false,false
CMP:IANQTJSKSUMEQM-UHFFFAOYSA-N,TAU:456bd8770ec284e930f31d1c5fae13040114026b80cee9d615ae9a04a56be2a6,"[""CMP:IANQTJSKSUMEQM-UHFFFAOYSA-N""]",false,false
CMP:IAOZJIPTCAWIRG-QWRGUYRKSA-N,TAU:36353ee39b78d4a8b9174605889ba418869522cfd77b013b6f1ff4ca4286ac95,"[""CMP:IAOZJIPTCAWIRG-QWRGUYRKSA-N""]",false,false
CMP:IAYPIBMASNFSPL-UHFFFAOYSA-N,TAU:59b1a7b29b6a5f8bc1b877bcc4ec98feb203ff8d493c71bb46562c6918a0c0dc,"[""CMP:IAYPIBMASNFSPL-UHFFFAOYSA-N""]",false,false
CMP:IBOFVQJTBBUKMU-UHFFFAOYSA-N,TAU:f6efc1f8e3b49aa5b4518d8277921edf900a33f54d104682a0ecf03b4974f14b,"[""CMP:IBOFVQJTBBUKMU-UHFFFAOYSA-N""]",false,false
CMP:IBSQPLPBRSHTTG-UHFFFAOYSA-N,TAU:a7085584e6d9a69f192ffec4e51b53fe52ee21116466f2f00acfca6d208c3621,"[""CMP:IBSQPLPBRSHTTG-UHFFFAOYSA-N""]",false,false
CMP:IBXPYPUJPLLOIN-UHFFFAOYSA-N,TAU:604222919e6390104753d631e5961cfa9ff24726a8a12d9375d116966b2a0559,"[""CMP:IBXPYPUJPLLOIN-UHFFFAOYSA-N""]",false,false
CMP:ICNFHJVPAJKPHW-UHFFFAOYSA-N,TAU:1660e70ae7ad86f00ba96fdf72e1a7ebafcb7acb796753d158099144f2dabd2f,"[""CMP:ICNFHJVPAJKPHW-UHFFFAOYSA-N""]",false,false
CMP:IDFLGSYEBJNWMK-UHFFFAOYSA-N,TAU:7671dc694fde2536cdb92db14000d124f8e5f49b2ae7595840aff73cf29e69ad,"[""CMP:IDFLGSYEBJNWMK-UHFFFAOYSA-N""]",false,false
CMP:IDIMIWQPUHURPV-WTWIWYCDSA-N,TAU:d6fdf5a38a630a57ace6fcaae6dbfd5add48b1e1a80f3893650acb5209c0d9db,"[""CMP:IDIMIWQPUHURPV-WTWIWYCDSA-N""]",false,false
CMP:IDOWTHOLJBTAFI-UHFFFAOYSA-N,TAU:15f7eebc4dbd7b8e693e4c00694c4e037d5fd74b16145fb651ad0ccc90173c84,"[""CMP:IDOWTHOLJBTAFI-UHFFFAOYSA-N""]",false,false
CMP:IEPRKVQEAMIZSS-WAYWQWQTSA-N,TAU:f98a9246ffbf27e3fefed620bce615b8373ea5fcf88c7dc08f36cb98ab0f63e8,"[""CMP:IEPRKVQEAMIZSS-WAYWQWQTSA-N""]",false,false
CMP:IFXSWTIWFGIXQO-AOOOYVTPSA-N,TAU:a6e9458b5d206242e0e9cc4f8c48785d2bcee66cef6d90fea5cdfc87841e824a,"[""CMP:IFXSWTIWFGIXQO-AOOOYVTPSA-N""]",false,false
CMP:IISBACLAFKSPIT-UHFFFAOYSA-N,TAU:a9890075c0af3050928c7cc114364bd483577ab9cd9e240af092af0a4090a429,"[""CMP:IISBACLAFKSPIT-UHFFFAOYSA-N""]",false,false
CMP:IKEHOXWJQXIQAG-UHFFFAOYSA-N,TAU:9ef55e6c908472fdeda9ddf51e40f9e9c20eb1a7efc54d86307883dee0e4b03e,"[""CMP:IKEHOXWJQXIQAG-UHFFFAOYSA-N""]",false,false
CMP:IKGXIBQEEMLURG-NVPNHPEKSA-N,TAU:7ee1f4b0fe7c2f8fa98cbcde8cc3d413baf75d3be54040a3eeddc2761fe9cdc9,"[""CMP:IKGXIBQEEMLURG-NVPNHPEKSA-N""]",false,false
CMP:IKHGUXGNUITLKF-UHFFFAOYSA-N,TAU:540cc0181e112b3833239f8ef81adbacf273c4ef9fca36c6961d39f9137dab9a,"[""CMP:IKHGUXGNUITLKF-UHFFFAOYSA-N""]",false,false
CMP:ILGJVPVZCNNBKI-UHFFFAOYSA-N,TAU:e5816584bf1dd4d8b25d4bc13f44738aa1cf017ea9eb0147bfbf046d7f17548f,"[""CMP:ILGJVPVZCNNBKI-UHFFFAOYSA-N""]",false,false
CMP:IMACFCSSMIZSPP-UHFFFAOYSA-N,TAU:3649a7cfa591ec5ff72a0beaf1f3a60e455a06406613aa5894434a4b92947e37,"[""CMP:IMACFCSSMIZSPP-UHFFFAOYSA-N""]",false,false
CMP:IMAGWKUTFZRWSB-HWKANZROSA-N,TAU:a594c661cbe6967a91b1d63a861374f0ff70a3a7196cc74b4e1b6d74c260a03e,"[""CMP:IMAGWKUTFZRWSB-UHFFFAOYSA-N""]",false,false
CMP:IMHBYKMAHXWHRP-UHFFFAOYSA-N,TAU:8e563c949118f5fb5245630fab70bcee1b808be5f5865d3110e8d610791926cc,"[""CMP:IMHBYKMAHXWHRP-UHFFFAOYSA-N""]",false,false
CMP:IMSSROKUHAOUJS-MJCUULBUSA-N,TAU:4b047f5ab63d8bd8946987f83cc13d1d3794dfe8e88a3aa7b9f06d1af2b98d7b,"[""CMP:IMSSROKUHAOUJS-MJCUULBUSA-N""]",false,false
CMP:INFDPOAKFNIJBF-UHFFFAOYSA-N,TAU:746d1f1b269c698a27bef0406242710f82e0f70bd3e279bc7561f243cfb140a9,"[""CMP:INFDPOAKFNIJBF-UHFFFAOYSA-N""]",false,false
CMP:INLLPKCGLOXCIV-UHFFFAOYSA-N,TAU:f9e8015d624150e0c0e788312a4b15492dc5af81a6b94535696fe005401d74ec,"[""CMP:INLLPKCGLOXCIV-UHFFFAOYSA-N""]",false,false
CMP:INQOMBQAUSQDDS-UHFFFAOYSA-N,TAU:fe8ee15bb86d27a77f2a62bd71bc65936156c99fe5b58537b347cbad1761fd95,"[""CMP:INQOMBQAUSQDDS-UHFFFAOYSA-N""]",false,false
CMP:IOOMXAQUNPWDLL-UHFFFAOYSA-N,TAU:88376138d677d5ef89da120ef749cb1c888748a6219b804aec2caeed8fb59f07,"[""CMP:IOOMXAQUNPWDLL-UHFFFAOYSA-N""]",false,false
CMP:IOUNQDKNJZEDEP-UHFFFAOYSA-N,TAU:5a5843c4799dca6b3052c5a43f916ebf9139175605dae39d65bd8f6cedf7601a,"[""CMP:IOUNQDKNJZEDEP-UHFFFAOYSA-N""]",false,false
CMP:IPEHBUMCGVEMRF-UHFFFAOYSA-N,TAU:41bd4f603d4dd14908af11b9e31b2277146b77b3ff2a5b763ddb5181a19a1f3e,"[""CMP:IPEHBUMCGVEMRF-UHFFFAOYSA-N""]",false,false
CMP:IQVNEKKDSLOHHK-UHFFFAOYSA-N,TAU:2188b7f595b1db861098467062adbece354d037d5f588c548a1593cc0bca8098,"[""CMP:IQVNEKKDSLOHHK-UHFFFAOYSA-N""]",false,false
CMP:IRIAEXORFWYRCZ-UHFFFAOYSA-N,TAU:00dce3b50f702d4461f8c35e047f639ade67f2abf0495acab78ba053699f281e,"[""CMP:IRIAEXORFWYRCZ-UHFFFAOYSA-N""]",false,false
CMP:IRPXADUBAQAOKL-UHFFFAOYSA-N,TAU:90490e490f658b23ed3ed0875335330cd2b6fb0919c9aff654be8482598e2621,"[""CMP:IRPXADUBAQAOKL-UHFFFAOYSA-N""]",false,false
CMP:ISAKRJDGNUQOIC-UHFFFAOYSA-N,TAU:b24478a8f1b2baad976df20df4efdfffa535365c1774faac656ca0418a6f2d83,"[""CMP:ISAKRJDGNUQOIC-UHFFFAOYSA-N""]",false,false
CMP:ISAOCJYIOMOJEB-UHFFFAOYSA-N,TAU:2effe39ff5295105d4b8022114e63586ce946e4533e501e47a2eec386f014978,"[""CMP:ISAOCJYIOMOJEB-UHFFFAOYSA-N""]",false,false
CMP:ISPYQTSUDJAMAB-UHFFFAOYSA-N,TAU:cb9cc56561229a8c2b47022b62190d1a54b51ed3c4a529226915d3a660c91a6b,"[""CMP:ISPYQTSUDJAMAB-UHFFFAOYSA-N""]",false,false
CMP:ISRUGXGCCGIOQO-UHFFFAOYSA-N,TAU:34996578c60a7fecf2cf0038aab568c2bf432a17ea926798642e2d1ecae4da88,"[""CMP:ISRUGXGCCGIOQO-UHFFFAOYSA-N""]",false,false
CMP:ISWSIDIOOBJBQZ-UHFFFAOYSA-N,TAU:82b0491cd46906e019a1b589ed783ef4e293fc4e9c0626cf5afd843d80b26c9c,"[""CMP:ISWSIDIOOBJBQZ-UHFFFAOYSA-N""]",false,false
CMP:IVEXWRHLJIZLHF-UHFFFAOYSA-N,TAU:b0fdeb42223092a2712fbf5660e028a5be9633bd95d2fc2d0d98f53d0569bade,"[""CMP:IVEXWRHLJIZLHF-UHFFFAOYSA-N""]",false,false
CMP:IVSZLXZYQVIEFR-UHFFFAOYSA-N,TAU:f666b55c117f3166015743b5a43fe2a5a4454f6ff3cd92337839766291e8f8e1,"[""CMP:IVSZLXZYQVIEFR-UHFFFAOYSA-N""]",false,false
CMP:IWDCLRJOBJJRNH-UHFFFAOYSA-N,TAU:6f1b3105ba84bd88ee22730024d411dac53b7eb19e990ff5793b4663a2febc6e,"[""CMP:IWDCLRJOBJJRNH-UHFFFAOYSA-N""]",false,false
CMP:IWEDIXLBFLAXBO-UHFFFAOYSA-N,TAU:88d6947b4628381d37d8bc2a77d64b4e650d1b7137877466e508c429503122fe,"[""CMP:IWEDIXLBFLAXBO-UHFFFAOYSA-N""]",false,false
CMP:IWWWBRIIGAXLCJ-UHFFFAOYSA-N,TAU:5da3c2cd33419a940ff2b7529a8d865d9dff021bf92e7c9378fa3f685b493083,"[""CMP:IWWWBRIIGAXLCJ-UHFFFAOYSA-N""]",false,false
CMP:IWYRWIUNAVNFPE-UHFFFAOYSA-N,TAU:c5cb4ed1a4639be1147aa8ac30aab0a1e2fbfedfbc8db517ddd1c18b990b8b84,"[""CMP:IWYRWIUNAVNFPE-UHFFFAOYSA-N""]",false,false
CMP:IXORZMNAPKEEDV-OBDJNFEBSA-N,TAU:b3dfc9fd3a9f1a75f284599ac894638d33614ffa3eb8257b51871e99df7dba19,"[""CMP:IXORZMNAPKEEDV-OBDJNFEBSA-N""]",false,false
CMP:IYRMWMYZSQPJKC-UHFFFAOYSA-N,TAU:3811f42d3c15ed32a8c69ec477aa1b76d6590223fae008834ae92c8be2301ea2,"[""CMP:IYRMWMYZSQPJKC-UHFFFAOYSA-N""]",false,false
CMP:IZJDOKYDEWTZSO-UHFFFAOYSA-N,TAU:ee0b533e14904cd6472472fae217150c03b1dba876c91c7c76829d00f722d28d,"[""CMP:IZJDOKYDEWTZSO-UHFFFAOYSA-N""]",false,false
CMP:IZPWYVQTUVBMCO-UHFFFAOYSA-N,TAU:b0db7992d85855f9c185fd7bb3c1e6acf2a47efd3df610630a60bffce834e5d5,"[""CMP:IZPWYVQTUVBMCO-UHFFFAOYSA-N""]",false,false
CMP:IZUKQUVSCNEFMJ-UHFFFAOYSA-N,TAU:44a28d359c25560bc2877ed19beece42d677a09c55e9a55d036db2bde4becd08,"[""CMP:IZUKQUVSCNEFMJ-UHFFFAOYSA-N""]",false,false
CMP:IZUPBVBPLAPZRR-UHFFFAOYSA-N,TAU:cecc746ec1917270b56a4e813b79eae12ffd3f36f422746f252ea1f463946624,"[""CMP:IZUPBVBPLAPZRR-UHFFFAOYSA-N""]",false,false
CMP:JAEZSIYNWDWMMN-UHFFFAOYSA-N,TAU:7a91e7edfa883ef7427a0491336df238683df9b7ede9c58f1a7931e034d24751,"[""CMP:JAEZSIYNWDWMMN-UHFFFAOYSA-N""]",false,false
CMP:JBIJLHTVPXGSAM-UHFFFAOYSA-N,TAU:62f67169d942b64a75d01aee84bc3f60809fad2803d8c75578892f7b1267d6f3,"[""CMP:JBIJLHTVPXGSAM-UHFFFAOYSA-N""]",false,false
CMP:JBKVHLHDHHXQEQ-UHFFFAOYSA-N,TAU:e4dc0eada9af64df09cc9873eb08d6d80fe1f9acc250c1dd5ec92354668ed1e1,"[""CMP:JBKVHLHDHHXQEQ-UHFFFAOYSA-N""]",false,false
CMP:JCKYGMPEJWAADB-UHFFFAOYSA-N,TAU:87c43cfe895b099ddcc924a6f94062288341874314f7612d14bdeeca90a4fbbf,"[""CMP:JCKYGMPEJWAADB-UHFFFAOYSA-N""]",false,false
CMP:JCYPECIVGRXBMO-FOCLMDBBSA-N,TAU:e3efa2f9b0a97763da98317b5581b160dd8b51f615a55aa352256bbfcb524bfb,"[""CMP:JCYPECIVGRXBMO-FOCLMDBBSA-N""]",false,false
CMP:JDSHMPZPIAZGSV-UHFFFAOYSA-N,TAU:cfad5bc1fc79be06b9df4b774fad8c270945736f726eca40f38e93e46bf6e3fb,"[""CMP:JDSHMPZPIAZGSV-UHFFFAOYSA-N""]",false,false
CMP:JFIOVJDNOJYLKP-UHFFFAOYSA-N,TAU:ef6afcf3bb3686fd27cd24d3911fe781a4d350b6ce14a859b80aad76dd14977a,"[""CMP:JFIOVJDNOJYLKP-UHFFFAOYSA-N""]",false,false
CMP:JHBKHLUZVFWLAG-UHFFFAOYSA-N,TAU:d72ee934d45647f2bd189bb7003e303671767dfa299b1ce27a597d6b333a8452,"[""CMP:JHBKHLUZVFWLAG-UHFFFAOYSA-N""]",false,false
CMP:JHIVVAPYMSGYDF-UHFFFAOYSA-N,TAU:28ed7f4abc3f360949bef088c4afa4a77b693eb3c89e315aedb1afd64c9ceb92,"[""CMP:JHIVVAPYMSGYDF-UHFFFAOYSA-N""]",false,false
CMP:JIGUQPWFLRLWPJ-UHFFFAOYSA-N,TAU:141f9b79545c089753b37ff4a7296df306000a690df71dbe841e7d32ccd3da9e,"[""CMP:JIGUQPWFLRLWPJ-UHFFFAOYSA-N""]",false,false
CMP:JIOUJVPLJOQUFD-UHFFFAOYSA-N,TAU:6663377e86ea34fc98c970fb3cb72b402fd7e41cedd095997cd3ede48d80645c,"[""CMP:JIOUJVPLJOQUFD-UHFFFAOYSA-N""]",false,false
CMP:JJNZXLAFIPKXIG-UHFFFAOYSA-N,TAU:ccb4350a6ee208a78d895336f5354550e43d890bcdff8c47a91bd76ac63011c8,"[""CMP:JJNZXLAFIPKXIG-UHFFFAOYSA-N""]",false,false
CMP:JJYPMNFTHPTTDI-UHFFFAOYSA-N,TAU:15e34d6dc78ce5644704d87a28c6235468f26a524dbcb84de10cf6f736350b7e,"[""CMP:JJYPMNFTHPTTDI-UHFFFAOYSA-N""]",false,false
CMP:JLBJTVDPSNHSKJ-UHFFFAOYSA-N,TAU:3973948775798be2e0239005be5073f1d0fb47677429b96f6ed9f2836dcabf4f,"[""CMP:JLBJTVDPSNHSKJ-UHFFFAOYSA-N""]",false,false
CMP:JLRGJRBPOGGCBT-UHFFFAOYSA-N,TAU:356aff16676a881ca4c15464d8c14165cea1b56e5e421bf52da669c84214080a,"[""CMP:JLRGJRBPOGGCBT-UHFFFAOYSA-N""]",false,false
