query_split,count,missing,mean,median,p95,max,summary_status
train,736,0,0.46373764282393809,0.44444444444444442,0.7560606060606061,1,ok
validation,185,0,0.46274676864904307,0.43902439024390244,0.73913043478260865,1,ok
external_test,455,0,0.41575225145933431,0.38636363636363635,0.71077441077440973,1,ok
external_tautomer_sensitivity,455,0,0.41575225145933431,0.38636363636363635,0.71077441077440973,1,ok
