record_key,source_dataset,source_record_id,exclusion_reason
REC:8685269de6ca6eb505ca913f9f0773b11b30f86256b77572b0537ba38b1adc31,ccris,114:cstu:5,无含碳有机片段
REC:b33e72818915a2013aae511b3bed65e103d1738464b92a7a74e75aad452b25b9,ccris,114:cstu:6,no_standardized_key
REC:b33e72818915a2013aae511b3bed65e103d1738464b92a7a74e75aad452b25b9,ccris,114:cstu:6,无含碳有机片段
REC:90e1de6ed88ac814e6e1100ae3aff87765cb910bf4b55d09c9baa93404824bf7,ccris,114:cstu:7,no_standardized_key
REC:90e1de6ed88ac814e6e1100ae3aff87765cb910bf4b55d09c9baa93404824bf7,ccris,114:cstu:7,无含碳有机片段
REC:228f9018d740b671e5a13775704be7b29c14b42c2c5ad5ac4137dff11ecf8745,ccris,114:cstu:8,no_standardized_key
REC:228f9018d740b671e5a13775704be7b29c14b42c2c5ad5ac4137dff11ecf8745,ccris,114:cstu:8,无含碳有机片段
REC:2d67ca6278f4eda3880bfd3959324aaf01489334c9e8ec72de87363831875794,ccris,114:cstu:9,no_standardized_key
REC:2d67ca6278f4eda3880bfd3959324aaf01489334c9e8ec72de87363831875794,ccris,114:cstu:9,无含碳有机片段
REC:f022842d6a3101eb42d7a798ca0044873ace8eab9e631112c535ad518a51399d,ccris,1152:no_carcinogenicity,无致癌性试验记录
REC:e6d99ba4630727cd3de9bb841f02646b5203705974bc543fe0b5ff4cf384b641,ccris,1153:no_carcinogenicity,无致癌性试验记录
REC:5e67b0ed97a4e6d7c1780c83a7edd40300f2f21c31ad2da8387d2afaccf06352,ccris,1154:no_carcinogenicity,无致癌性试验记录
REC:01bdaf35dce4f95c08c7e658e342fe8234798c6937e60d8bceb3fe884c613572,ccris,1155:no_carcinogenicity,无致癌性试验记录
REC:bafeff68c0110dc685456e735ed8dfe05b0c274a6d9f803324f5b0bb1fec99b9,ccris,1156:no_carcinogenicity,无致癌性试验记录
REC:4befa89e84171091b1e5868d0fff2d9b463130b4a95c588fbf6fb1789bfd2122,ccris,1157:no_carcinogenicity,无致癌性试验记录
REC:9e0a5b627e3d9ea71162b563f7be68d67e68b1e4e584285999deb2ff10997035,ccris,1158:no_carcinogenicity,无致癌性试验记录
REC:0b96667e9d8d0eac37891efd14157cd80c2beafb459394449103e4517be435ba,ccris,1159:no_carcinogenicity,无致癌性试验记录
REC:f188090e0ea998ab5f2eea16c08591f6ce8fe19081f01f7ca4958f60e1fe82d4,ccris,115:cstu:1,no_standardized_key
REC:f188090e0ea998ab5f2eea16c08591f6ce8fe19081f01f7ca4958f60e1fe82d4,ccris,115:cstu:1,无含碳有机片段
REC:0e939052b6918028aa7363c7bed939beb7929cd0286dda634d7c2f764d2d657b,ccris,115:cstu:10,no_standardized_key
REC:0e939052b6918028aa7363c7bed939beb7929cd0286dda634d7c2f764d2d657b,ccris,115:cstu:10,无含碳有机片段
REC:3134752113aa68d5ba33334825b4fd9636885b4f39426b3aee40f8c85edfb3ab,ccris,115:cstu:11,no_standardized_key
REC:3134752113aa68d5ba33334825b4fd9636885b4f39426b3aee40f8c85edfb3ab,ccris,115:cstu:11,无含碳有机片段
REC:42500a81af688c5a15857105f10b6e9ac9520d9fa0fb3085553817c48e0d60fd,ccris,115:cstu:12,no_standardized_key
REC:42500a81af688c5a15857105f10b6e9ac9520d9fa0fb3085553817c48e0d60fd,ccris,115:cstu:12,无含碳有机片段
REC:6100819d02a91a8c54000c2bdfce56b178ae13e9f003028a86949c09a7979d50,ccris,115:cstu:13,no_standardized_key
REC:6100819d02a91a8c54000c2bdfce56b178ae13e9f003028a86949c09a7979d50,ccris,115:cstu:13,无含碳有机片段
REC:084009fcf9f66b6be6bbcc9b63c7a9853d6659b88969108bc7f151453db3a1c6,ccris,115:cstu:14,no_standardized_key
REC:084009fcf9f66b6be6bbcc9b63c7a9853d6659b88969108bc7f151453db3a1c6,ccris,115:cstu:14,无含碳有机片段
REC:8254f3ba29844f31cff8d5c58d6ac74e41c2ffa12c05f9619431fb6c9e68d9cd,ccris,115:cstu:15,no_standardized_key
REC:8254f3ba29844f31cff8d5c58d6ac74e41c2ffa12c05f9619431fb6c9e68d9cd,ccris,115:cstu:15,无含碳有机片段
REC:6904b82be927cba4c37c265e87b4cc208505be5000d1cbf92907d67910a9faa5,ccris,115:cstu:16,no_standardized_key
REC:6904b82be927cba4c37c265e87b4cc208505be5000d1cbf92907d67910a9faa5,ccris,115:cstu:16,无含碳有机片段
REC:43408acf74e6b72335ca7e421117a5986a2c0ace4af0709b03ca5809ff7aab1a,ccris,115:cstu:17,no_standardized_key
REC:43408acf74e6b72335ca7e421117a5986a2c0ace4af0709b03ca5809ff7aab1a,ccris,115:cstu:17,无含碳有机片段
REC:88c7e70d5aab6665417533c5dca1b1961e0775724efba7ddcc69fd4cfb40c72f,ccris,115:cstu:18,no_standardized_key
REC:88c7e70d5aab6665417533c5dca1b1961e0775724efba7ddcc69fd4cfb40c72f,ccris,115:cstu:18,无含碳有机片段
REC:1fa39a5b88b28b3c9770c3ddecfc421618bd98131811c30eb0061e61cc4fe622,ccris,115:cstu:19,no_standardized_key
REC:1fa39a5b88b28b3c9770c3ddecfc421618bd98131811c30eb0061e61cc4fe622,ccris,115:cstu:19,无含碳有机片段
REC:7c1779098bc20e7b2b8a77fea380b6e4d8b79a81e33b5da42fec722c65d3eca5,ccris,115:cstu:2,no_standardized_key
REC:7c1779098bc20e7b2b8a77fea380b6e4d8b79a81e33b5da42fec722c65d3eca5,ccris,115:cstu:2,无含碳有机片段
REC:e2a0735e1e14bfd9d85131f6cb9f694964ed0563b321acecb3425c70e06cbec6,ccris,115:cstu:20,no_standardized_key
REC:e2a0735e1e14bfd9d85131f6cb9f694964ed0563b321acecb3425c70e06cbec6,ccris,115:cstu:20,无含碳有机片段
REC:ac2ab408ce17e450ec1f978fd4b78ac06e676355c5293aace570d9b333437d1d,ccris,115:cstu:21,no_standardized_key
REC:ac2ab408ce17e450ec1f978fd4b78ac06e676355c5293aace570d9b333437d1d,ccris,115:cstu:21,无含碳有机片段
REC:f4eb76de0165851020163c974b081b487fdb9f7cb82560d3592843020fee1c7d,ccris,115:cstu:22,no_standardized_key
REC:f4eb76de0165851020163c974b081b487fdb9f7cb82560d3592843020fee1c7d,ccris,115:cstu:22,无含碳有机片段
REC:a6fadf679b2ac12108ef124f6e642b934efacf480fc89f9cc07e819e78c77749,ccris,115:cstu:23,no_standardized_key
