record_key,source_dataset,source_record_id,exclusion_reason
REC:a2e8adfa6ae67b7a20f52fbad58ed32a0f8211953ddb6796bbe55267280cbfa9,ccris,1041:no_carcinogenicity,无致癌性试验记录
REC:e07a8921e37ef577b02618497f837fc87f7ddb67093514d9757f6c3875e3f635,ccris,1042:no_carcinogenicity,无致癌性试验记录
REC:6d8f398f870bdff57b1869d7e2a9e54698e4938fa04c266473c3801c9bd02910,ccris,1045:no_carcinogenicity,无致癌性试验记录
REC:87c60800d182d07640c67da1a8745b2bb8d3d7bd3498a98edd50f4d5e3fdbc6e,ccris,1046:no_carcinogenicity,无致癌性试验记录
REC:edd51f9501a4fcc328cc87c80e0b90d50f11f6d96cf30085be90968517b5f9f5,ccris,1047:no_carcinogenicity,无致癌性试验记录
REC:2d52256f77c44903f90d00ee3923ae117d4ba4b1433167c0dafae86812991e44,ccris,1048:no_carcinogenicity,无致癌性试验记录
REC:182fb5250aa9dea2568767969db8640ffd978d171a18b44777f2d88da0696b04,ccris,1049:no_carcinogenicity,无致癌性试验记录
REC:73ad370cffa6bb7149f27d8881344ce1a115db269afca11bfb51afdf96b6d016,ccris,1050:no_carcinogenicity,无致癌性试验记录
REC:d258dc4c810d8e0d2351bff03d4a13773e1488bfc8d90a4747bbc9f03c2a03bb,ccris,1051:no_carcinogenicity,no_standardized_key
REC:d258dc4c810d8e0d2351bff03d4a13773e1488bfc8d90a4747bbc9f03c2a03bb,ccris,1051:no_carcinogenicity,存在中性共组分，按混合物、溶剂化物或加合物排除
REC:d258dc4c810d8e0d2351bff03d4a13773e1488bfc8d90a4747bbc9f03c2a03bb,ccris,1051:no_carcinogenicity,无致癌性试验记录
