connectivity_key,contribution_type,contributor_id,source_dataset
BAHPQISAXRFLCL,excluded_record_component,REC:27d27b87fcaf8fe8280ce19247947af8919d8010fcd94f4cdf05a502d293cfb3,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:3258d82242825f92fb3d032b1b7350a628fb3a3f87b1e0e4cf819a1283ba94e6,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:38c70be6f38f48a4cf782f98f9f7fff7155f4349da40dc91cd5393451200da37,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:3cd4daea73f9a9c32180ef98ff689c61b892736172c53c5d0306fabec0eaa804,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:3d5f96e38b704e9f764b38da60d55b7ff37ab94393ad9ad0e8e654000dccd899,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:41409ba535901222a59bc750176e4617656230fc5150461fe5504ebd90df5e9a,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:423f53b51167a7cdde54b1fac033eadd12cbfa0a15ac72e29a240a069d21cf3b,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:479c67a4e73fd9550aab3efcd61df1e7608daf53a2bd0cdfdf29a31b504ac8c2,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:56379e029c161627975a831ec19a55b8a70926f0fb01c59cf1989eda7503f460,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:5f771d0afa92b9d200ee953b4786c527b71fd56e138239aafc06a8ab644680b0,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:65e84e01ab0323403ef859c9f69b40c7182cdf4f1acfd94e6ad35e5527b33515,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:6aa856c0fe126692758bf1d5cb0c45449bd4835e60cb9e9307f40c904400bf07,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:72484f669b9548aeebfbb84b969ad6d7a3adab5a1b013bb364fa6f83e3abce34,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:792b437d24124921e5a8a7ca0142322644f2a424e782e93fbeaa20e6d60dbd4f,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:83d893d8d1d09a20560411f8f8680dbe5940b602e742273eada5fa77169dd851,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:998733a1f8a9eb0ed83d8426f5330657302210074fabafd3c2b37782f41198c8,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:9bdb4f21464a47f3f254dedf08653828f3e36c81aa07e4efa09e3b0000eeddcc,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:a9ed3f4bea33b440d4a62afd2c67dd7a7166166c1daa695d433e47387ad6e73c,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:b724aa6fd215487c2cf0114933faa3e9795043072dd4c0448850a888d86348d8,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:b8301777321183557f5091d39789efe1a443a8f20d312b0d9304848b6dfbcc4b,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:b92501088ab5457e139bc52c465d8ef0166ee79be417bc293738816c6d9e75e1,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:c3a0d2eba42c3f932dbb83a91e70b5b6ac143694c3fa263e5af82cbba63753c6,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:cff17fa78d6980202295acfdd5476d4e609b7ba6b5dce006e79d501a104ad329,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:dc6f03dbced072da43626fa4e6dce4eb1466b9a42cfc2de55898e05e7947bc53,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:dfd6f464ae13e58ca3ca9bd789c8de92a6913bf026e837c230fb88bf4bef07cb,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:ea98b7f13d5c35caaba8c24f3c839a4ce98182f71b8dd335892ced4c9460008d,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:ed18294aa7041b8686d1b6528511fc4cd907a6b2c25c2a206abac32f7bd010f3,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:fa95ba7aef9eb3ce7626069fb6530f25c8570ff403469f8d46311f98151e9686,cpdb
BAHPQISAXRFLCL,excluded_record_component,REC:fd6086a7319b1bb7beb930382cb04414654b3cb8dcddd3a83dc951c3432ada99,cpdb
BAOXJBYPTRZNSH,compound_role,CMP:BAOXJBYPTRZNSH-XBXARRHUSA-N,cpdb
BAPJBEWLBFYGME,compound_role,CMP:BAPJBEWLBFYGME-UHFFFAOYSA-N,iris
BAQAVOSOZGMPRM,compound_role,CMP:BAQAVOSOZGMPRM-QBMZZYIRSA-N,cpdb
BATOPAZDIZEVQF,compound_role,CMP:BATOPAZDIZEVQF-UHFFFAOYSA-N,cpdb
BBABSCYTNHOKOG,compound_role,CMP:BBABSCYTNHOKOG-UHFFFAOYSA-N,cpdb
BBDAGFIXKZCXAH,compound_role,CMP:BBDAGFIXKZCXAH-PJNBIRNISA-N,cpdb
BBDKZWKEPDTENS,compound_role,CMP:BBDKZWKEPDTENS-UHFFFAOYSA-N,cpdb
BBEAQIROQSPTKN,compound_role,CMP:BBEAQIROQSPTKN-UHFFFAOYSA-N,iris
BBFQZRXNYIEMAW,compound_role,CMP:BBFQZRXNYIEMAW-UHFFFAOYSA-N,cpdb
BBPLSOGERZQYQC,compound_role,CMP:BBPLSOGERZQYQC-UHFFFAOYSA-N,cpdb
BCJMNZRQJAVDLD,compound_role,CMP:BCJMNZRQJAVDLD-CQRYIUNCSA-N,cpdb
BDAGIHXWWSANSR,compound_role,CMP:BDAGIHXWWSANSR-UHFFFAOYSA-N,iris
BDERNNFJNOPAEC,compound_role,CMP:BDERNNFJNOPAEC-UHFFFAOYSA-N,cpdb
BEJNERDRQOWKJM,compound_role,CMP:BEJNERDRQOWKJM-UHFFFAOYSA-N,cpdb
BETVNUCOOCCCIO,compound_role,CMP:BETVNUCOOCCCIO-UHFFFAOYSA-N,cpdb
BFCFYVKQTRLZHA,compound_role,CMP:BFCFYVKQTRLZHA-UHFFFAOYSA-N,cpdb
BFKJFAAPBSQJPD,compound_role,CMP:BFKJFAAPBSQJPD-UHFFFAOYSA-N,cpdb
BFPSDSIWYFKGBC,compound_role,CMP:BFPSDSIWYFKGBC-UHFFFAOYSA-N,cpdb
BFPYWIDHMRZLRN,compound_role,CMP:BFPYWIDHMRZLRN-SLHNCBLASA-N,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:3525dd7312d6ed857a3e47a41b99f354c0516f1663770529050979f53dd79bbe,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:6030ac37629d486180cfca61eee0a3861012084a8289df150279b4d1e33e5936,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:6363a9a5d21b2769576a248856c804d274d7941b7ac3469fa7b7a145288e13d3,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:6b0e0e8bd5f027d4d76836d5a0f67a703c7b68cd8cda11f0d92d7ea0b3faa38f,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:826d00b8ddeaf3347e94194fa540ad1ab2045e306edbf1b3fb4e6713b51d0359,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:835ad25260d569231351ad209fe05447ea1b32c5e882863f3f123a861d309257,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:851df103ce278caa1f4da0b8086f7df0971e6eadfdfec50a24c96c28d53b22d2,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:8bf24e2bed47718b78b22131751005214d4e100d9843ce3e2bbcbd175ebfc9e0,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:8cf476fb380fa9fb62bc33afda9f60f8e3f30ace885abaeb10c682105fef5434,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:8eeaa55467e1f86e053e133b1f8c8631068f77a316159ad6489fb6186582f6c3,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:bdf8606d693c94f15a184274f485bbe80598caa27613416f6cc523b4e1959af6,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:c626141ed71e40754b3450ae4756f1f9d7ba7d2319ade4f67226457caa86c6a5,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:c84f25c0d3eee57fe4b614221579d67e908d2b8589e958a3a477f25f67aff39a,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:ca2c04626ce87b04ef5c00ff61c72064c28e2b39ec4437aa4c01d4eb2927fdc8,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:df528717c12457bf06e25845fc8d735b517f99db4c68a6e062f4d1b6d9c810ce,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:f5bb0e41aa32a14774e720a813bc7434ef6060d6a983dec0cd4df723c32dee2c,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:f8a77fe3f264149cb1483bb83f7e0eb2096cb1606dd6b35c510127e8250820a8,cpdb
BFPYWIDHMRZLRN,excluded_record_component,REC:fe1a43dcb4b4888f71163eeadb7eeb34c5ff7b278db810221bb5a1378da2893f,cpdb
BGNXCDMCOKJUMV,compound_role,CMP:BGNXCDMCOKJUMV-UHFFFAOYSA-N,cpdb
BGPPUXMKKQMWLV,compound_role,CMP:BGPPUXMKKQMWLV-UHFFFAOYSA-N,cpdb
BGRDGMRNKXEXQD,compound_role,CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,cpdb
BGRDGMRNKXEXQD,compound_role,CMP:BGRDGMRNKXEXQD-UHFFFAOYSA-N,iris
BGZZWXTVIYUUEY,compound_role,CMP:BGZZWXTVIYUUEY-UHFFFAOYSA-N,iris
