split,unique_scaffold_count,singleton_scaffold_count,singleton_scaffold_rate,compound_weighted_overlap,scaffold_weighted_overlap,status
train,272,212,0.77941176470588236,0.71603260869565222,1,ok
validation,86,74,0.86046511627906974,0.39459459459459462,0.31395348837209303,ok
external_test,202,154,0.76237623762376239,0.31208791208791209,0.18316831683168316,ok
external_tautomer_sensitivity,202,154,0.76237623762376239,0.31208791208791209,0.18316831683168316,ok
