source,label_raw,label_category,label_candidate,label_reason,count
ccris,Negative (Purity of 89%; Study details not given in source),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Purity of 90.7%; Study details not given in source),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Significant increase in hyperplasia observed in combined chemical group. Low survival rate complicates interpretation of study),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative (Slight increase in incidence of various neoplasms (harderian gland, lungs, skin, spleen, tail, thymus, and uterus) in female transgenic rasH2 mice similarly exposed at 50, 150, and 250 mg/kg/day.)",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Slight increases in hemangiosarcoma (multiple organs) and mammary gland carcinoma were not considered treatment related.),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Study details not given in report) Purity 99.6%,uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Study details not given in source) Purity 99.6%,uncertain,negative,未纳入严格白名单的带方向结果,3
ccris,Negative (Study details not given in source; Purity 95.6%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 83.3%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 92-95%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 94.5%),uncertain,negative,未纳入严格白名单的带方向结果,4
ccris,Negative (Study details not given in source; purity 95.2%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 95.6%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 96.2%),uncertain,negative,未纳入严格白名单的带方向结果,3
ccris,Negative (Study details not given in source; purity 96.7%),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (Study details not given in source; purity 99%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 99.5%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not given in source; purity 99.6%),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative (Study details not presented by DPR evaluator),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,"Negative (hyperplasia only, no increase in tumors)",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative (kidney, liver, lung, spleen, thymus, stomach and intestine examined); similar results in male Ogg1 knockout mouse.",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,"Negative (kidney, liver, lung, spleen, thymus, stomach, and intestine examined); similar results in female Ogg1 knockout mouse.",uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative (nonstatistical increase in hepatocellular adenomas),uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,"Negative, (DPR evaluator indicated inadequate justification of dose and too narrow a range with exposures at two lower doses not discrete.)",uncertain,negative,带限制性描述的结果,2
ccris,"Negative. (Authors describe as equivocal evidence based on alveolar/bronchiolar adenoma (0/50, 0/50, 5/50, 2/50); alveolar/bronchiolar adenoma or carcinoma (combined) (0/50, 0/50, 5/50, 3/50))",uncertain,negative,带限制性描述的结果,1
ccris,"Negative. (Authors describe as equivocal evidence based on incidence of histiocytic sarcoma (0/49, 1/50, 1/50, 4/50) in all organs)",uncertain,negative,带限制性描述的结果,1
ccris,"Negative. (Authors describe as equivocal evidence based on incidence of mononuclear cell leukemia: (5/50, 11/50, 18/50, 15/50))",uncertain,negative,带限制性描述的结果,1
ccris,"Negative. (Authors describe as equivocal evidence based on incidence of thymoma, benign or malignant (0/47, 0/43, 0/49, 2/48) in thymus and carcinoma (0/50, 0/50, 0/50, 2/50) in mammary gland)",uncertain,negative,带限制性描述的结果,1
ccris,"Negative. (Authors describe findings as equivocal based on renal tubule adenoma (standard evaluation - 0/50, 1/50, 0/50, 2/50; standard and extended evaluations combined - 0/50, 2/50, 1/50, 3/50))",uncertain,negative,带限制性描述的结果,1
ccris,"Negative. (Authors describe results as equivocal based on incidences of hepatocellular adenoma (6/50, 13/50, 6/50); hepatocellular carcinoma (1/50, 7/50, 2/50); and hepatocellular adenoma or carcinoma (7/50, 18/50, 8/50)",uncertain,negative,带限制性描述的结果,1
ccris,Negative. (Possible increased incidence of skin fibrosarcomas in high dose females),uncertain,negative,未纳入严格白名单的带方向结果,1
ccris,Negative. A 350 ppm group was terminated at study day 58 due to self-trauma and infection which also caused decreased survival rates in the 150 ppm group.,uncertain,negative,未纳入严格白名单的带方向结果,2
ccris,Negative. According to DPR evaluator; original data not presented. Cholinesterase inhibition at highest dose,uncertain,negative,未纳入严格白名单的带方向结果,2
